Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_G2C	MIG_G2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run86	1933	11606	228327	4.35727e-04	1.40920e-04	1.16145e-04	4.48270e-06	10261	10956	84536	-63397362.321	-62104704.213
run87	1581	8216	462114	5.32767e-04	1.46383e-04	1.37291e-04	1.54149e-05	8123	8768	87897	-63378631.613	-62104704.213
run88	17700	2475	495007	6.28280e-04	7.67189e-05	1.83755e-05	1.04747e-04	2168	64827	66898	-62995176.468	-62104704.213
run89	1128	2848	340988	0.0010303	1.16590e-04	2.61918e-04	8.05312e-05	13992	37108	72678	-63385583.347	-62104704.213
run90	14399	1243	356334	0.0012355	1.44409e-04	1.50409e-05	2.80548e-04	1232	43354	72407	-62972139.686	-62104704.213
run91	16597	1377	427247	0.0010625	1.21206e-04	1.88368e-05	2.23754e-04	1333	47422	65524	-62975733.667	-62104704.213
run92	16970	2205	433370	7.64245e-04	7.39356e-05	2.48446e-05	1.37656e-04	1893	54102	61196	-62987625.004	-62104704.213
run93	18261	2902	450834	5.59023e-04	5.80908e-05	1.99057e-05	9.95274e-05	2435	59950	64605	-63002011.019	-62104704.213
run94	19052	3420	477597	5.03507e-04	4.34370e-05	2.18559e-05	7.64525e-05	2717	61642	67355	-63007118.261	-62104704.213
run95	1820	3526	234722	6.43932e-04	1.07938e-04	1.28858e-04	6.96924e-05	7906	8478	83165	-63375683.257	-62104704.213
run96	12300	1070	330269	0.0014248	1.61913e-04	2.20120e-05	2.68875e-04	999	34651	72852	-62967399.273	-62104704.213
run97	9784	7763	425425	2.28350e-04	2.40532e-05	2.44215e-05	4.34256e-05	56523	63000	64640	-63390144.997	-62104704.213
run98	14808	1025	387486	0.0014233	1.67068e-04	1.15753e-05	3.13045e-04	1090	40579	72568	-62967115.712	-62104704.213
run99	15626	1055	380042	0.0013774	1.79552e-04	7.94814e-06	2.92747e-04	1062	45798	67019	-62968115.821	-62104704.213
run100	3204	9392	322626	3.03443e-04	5.83604e-05	7.58515e-05	1.90117e-05	14873	16822	84571	-63393337.789	-62104704.213
