Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run65	19904	1502	516034	7.90321e-04	5.05208e-06	2.90603e-05	2.60525e-04	4687	126530	875125	-62719797.128	-62104704.213
run66	15711	1070	526745	0.0011059	6.22599e-06	3.91399e-05	3.56175e-04	3249	120800	866987	-62706476.384	-62104704.213
run67	22601	1544	513211	7.53430e-04	4.43716e-06	2.50742e-05	2.45186e-04	4809	125187	846490	-62720061.387	-62104704.213
run68	19910	2634	428994	6.09306e-04	6.80171e-05	1.33581e-05	1.14001e-04	2375	63806	93801	-62982127.066	-62104704.213
run69	16093	1315	381752	0.0010734	5.70298e-05	3.09027e-05	2.07772e-04	1639	44095	222782	-62885751.880	-62104704.213
run70	15602	1766	371401	8.89628e-04	8.18226e-05	1.86162e-05	1.71430e-04	1776	47938	149622	-62938083.544	-62104704.213
run71	5887	26358	471841	1.54546e-04	3.21585e-05	4.15467e-05	1.20218e-06	30374	166737	170229	-63449667.476	-62104704.213
run72	4610	24272	549385	1.80893e-04	3.94355e-05	5.90112e-05	3.72111e-07	52271	161372	698071	-63344324.101	-62104704.213
run73	27056	2098	525448	5.48450e-04	2.99462e-06	1.94042e-05	1.72428e-04	6621	125677	928564	-62743421.432	-62104704.213
run74	6653	15518	492424	4.27695e-07	9.11630e-05	1.59271e-05	2.75156e-05	114692	174549	578198	-63427053.179	-62104704.213
run75	18794	1225	517799	9.40013e-04	5.03921e-06	3.04427e-05	3.17801e-04	4025	123461	926504	-62710972.604	-62104704.213
run76	18851	1285	503518	8.69877e-04	4.80192e-06	3.03608e-05	3.00195e-04	4178	124634	984061	-62710986.651	-62104704.213
run77	16355	1032	521150	0.0010833	6.21761e-06	3.79272e-05	3.90018e-04	3413	119358	972831	-62702878.625	-62104704.213
run78	21595	1413	509818	8.30892e-04	5.24421e-06	2.66253e-05	2.75005e-04	4551	118510	870934	-62718863.511	-62104704.213
run79	2790	15466	473645	3.03405e-04	8.47748e-05	8.53500e-05	1.39199e-07	15084	165801	175123	-63454837.411	-62104704.213
run80	25918	2150	510159	5.71813e-04	3.75654e-06	1.92914e-05	1.69587e-04	6323	126670	878713	-62744639.396	-62104704.213
run81	26947	1893	505534	6.00389e-04	3.19399e-06	1.92277e-05	1.97897e-04	6174	121124	915260	-62736686.737	-62104704.213
run82	5449	25375	541936	1.64826e-04	4.68314e-05	4.53556e-05	5.21174e-07	67014	169131	688020	-63338445.790	-62104704.213
run83	24757	1488	521513	7.48810e-04	4.03814e-06	2.42118e-05	2.43247e-04	4648	118725	807381	-62727513.441	-62104704.213
run84	2899	16344	479563	3.20184e-04	7.82101e-05	8.41094e-05	1.27112e-07	12936	147981	163577	-63453757.470	-62104704.213
run85	14963	1090	541376	0.0010586	5.97717e-06	3.96503e-05	3.66622e-04	3381	125541	874217	-62706630.454	-62104704.213
run86	16649	1014	534871	0.0010411	5.43927e-06	3.81063e-05	3.89054e-04	3461	115534	954390	-62705280.194	-62104704.213
run87	18283	1946	378532	9.25068e-04	1.02581e-04	1.31440e-05	1.36158e-04	1603	53429	106507	-62964864.925	-62104704.213
run88	19866	1363	517565	8.76367e-04	4.68994e-06	2.88024e-05	2.82475e-04	4218	124084	970772	-62711034.902	-62104704.213
run89	15327	2439	446169	6.77464e-04	8.60795e-05	1.66327e-05	1.26173e-04	2266	74317	101146	-62994778.206	-62104704.213
run90	7512	25119	508092	1.27530e-04	2.58268e-05	3.45951e-05	2.64141e-06	81878	149711	953238	-63342798.277	-62104704.213
run91	16827	1175	509502	9.05779e-04	6.52996e-06	3.23313e-05	3.26735e-04	3772	119597	940195	-62712816.555	-62104704.213
run92	15860	1060	518975	0.0011291	5.63407e-06	3.86331e-05	3.70969e-04	3268	116045	952209	-62704357.215	-62104704.213
run93	29011	3021	535721	4.15219e-04	4.21972e-06	1.53345e-05	1.18925e-04	8007	126260	820835	-62781866.376	-62104704.213
run94	3732	22618	447675	2.20566e-04	6.43513e-05	6.34935e-05	2.96350e-07	23610	185184	187011	-63454310.873	-62104704.213
run95	23189	1673	480728	7.31064e-04	4.57345e-06	2.53875e-05	2.30726e-04	5068	118673	898874	-62727424.020	-62104704.213
run96	7300	23877	463607	1.22139e-04	3.78141e-05	3.14106e-05	6.33445e-06	82332	155253	531177	-63347272.438	-62104704.213
run97	15265	1029	512958	0.0011170	6.36838e-06	3.92155e-05	3.97693e-04	3324	117601	980345	-62705221.833	-62104704.213
run98	5555	25744	515444	1.67313e-04	4.21495e-05	4.54855e-05	5.03275e-07	62527	169656	609470	-63339760.628	-62104704.213
run99	22790	1641	520717	7.64906e-04	3.70624e-06	2.51509e-05	2.32352e-04	4942	120686	959547	-62719035.974	-62104704.213
run100	12616	9502	447378	1.84035e-04	1.10029e-05	2.39331e-05	2.18050e-05	8935	81671	161383	-63231867.195	-62104704.213
