Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	MIG_G2C	MIG_G2E	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run18	4337	15109	340913	2.28222e-04	6.19839e-05	4.20064e-05	9.15650e-06	5.39367e-06	2.26149e-07	0.4823155	157640	242180	625466	-63186305.151	-62104704.213
run19	5807	1807	326107	8.23617e-04	4.74861e-05	3.09572e-05	1.35302e-04	3.94280e-06	1.79836e-05	0.2262491	129392	264881	612751	-63164052.959	-62104704.213
run20	2008	1362	349940	0.0012306	1.34532e-04	8.14638e-05	1.79081e-04	1.54952e-05	2.04828e-05	0.6850078	56329	180738	535373	-63162621.696	-62104704.213
run21	1705	2141	353456	9.73886e-04	1.73795e-04	9.34930e-05	1.01959e-04	1.83139e-05	1.24238e-05	0.5940270	99263	200675	573675	-63162709.533	-62104704.213
run22	1190	9899	328717	7.01137e-06	7.67328e-04	4.87278e-05	3.14188e-05	2.26805e-05	2.26613e-06	0.6017172	150479	171827	647566	-63255671.982	-62104704.213
run23	4962	1593	343321	8.61796e-04	5.91180e-05	3.32469e-05	1.57933e-04	5.58980e-06	2.04182e-05	0.5214660	138152	219026	541298	-63162355.742	-62104704.213
run24	2090	2011	344604	9.04273e-04	1.05274e-04	8.27723e-05	1.07993e-04	1.54978e-05	1.39965e-05	0.4272748	106995	152440	555828	-63163031.074	-62104704.213
run25	1856	5365	341759	5.47563e-04	1.63197e-04	9.20298e-05	2.92205e-05	1.52792e-05	2.51767e-06	0.3388546	99667	399548	598395	-63169441.007	-62104704.213
run26	5873	7168	330028	2.83771e-04	2.66156e-05	3.39338e-05	3.38903e-05	3.84542e-06	2.42600e-06	0.2864445	176725	334873	598461	-63173837.927	-62104704.213
run27	5441	1671	343381	8.24848e-04	5.62325e-05	3.13601e-05	1.51411e-04	3.83689e-06	1.95426e-05	0.5190349	119636	189916	583166	-63164994.577	-62104704.213
run28	1013	12894	330753	2.38963e-07	9.27854e-04	5.74921e-05	2.65200e-05	2.41423e-05	1.65250e-06	0.5926271	200465	434117	683959	-63249526.482	-62104704.213
run29	2103	4296	349958	5.40935e-04	1.20385e-04	7.61729e-05	4.76262e-05	1.41736e-05	5.64483e-06	0.3624212	78919	201956	524408	-63166656.114	-62104704.213
run30	1087	1507	360507	0.0014220	2.67158e-04	1.52013e-04	1.28601e-04	3.19034e-05	2.31885e-05	0.5002377	71842	269736	469457	-63162676.536	-62104704.213
run31	1118	10241	337343	1.24503e-07	7.86514e-04	7.54714e-05	3.28947e-05	2.47925e-05	2.61636e-06	0.6822695	126128	183867	602561	-63258405.726	-62104704.213
run32	5806	13954	332944	2.18099e-04	3.06101e-05	3.36786e-05	1.16440e-05	4.00955e-06	8.84128e-07	0.4037981	204125	311653	608284	-63185753.891	-62104704.213
run33	1524	1125	362970	0.0015329	1.64188e-04	1.07447e-04	2.06142e-04	2.56295e-05	3.06934e-05	0.3844994	68012	130650	431081	-63162718.772	-62104704.213
run34	1057	8830	334819	2.49687e-07	8.43052e-04	5.94794e-05	3.80672e-05	2.87746e-05	2.90290e-06	0.2239883	181978	254171	632051	-63254204.332	-62104704.213
run35	1441	2307	345030	8.90762e-04	1.85216e-04	1.11078e-04	9.99104e-05	2.16254e-05	1.14778e-05	0.6099483	62837	114416	529467	-63166202.396	-62104704.213
run36	1224	4561	344713	7.28093e-04	2.01849e-04	1.41576e-04	3.02514e-05	2.35267e-05	4.14247e-06	0.5766764	63678	72705	540250	-63168637.173	-62104704.213
run37	1591	1575	341420	0.0011392	1.63201e-04	1.04722e-04	1.54918e-04	1.97189e-05	1.57818e-05	0.7244789	76230	194136	583699	-63163410.686	-62104704.213
run38	1283	4164	344557	7.38056e-04	2.01403e-04	1.29469e-04	4.14014e-05	2.23118e-05	2.30171e-06	0.7651358	49999	193625	636607	-63174538.972	-62104704.213
run39	1111	1640	343049	0.0013035	2.37198e-04	1.57846e-04	1.17356e-04	2.71700e-05	1.83022e-05	0.3361877	69023	128477	597394	-63165340.428	-62104704.213
run40	1034	6534	340226	1.39643e-07	9.73865e-04	5.67696e-05	5.07568e-05	2.89360e-05	4.46471e-06	0.6835864	79035	194811	647411	-63263490.781	-62104704.213
run41	1037	1607	354544	0.0013078	2.62584e-04	1.67520e-04	1.21352e-04	3.66770e-05	1.90034e-05	0.4638915	37330	364017	473515	-63166339.455	-62104704.213
run42	1091	12456	339004	1.39534e-07	8.47381e-04	4.82901e-05	2.84617e-05	3.11246e-05	1.84026e-06	0.7741873	165995	392714	562060	-63253573.037	-62104704.213
run43	6126	4366	340295	3.65013e-04	4.09596e-05	3.14460e-05	5.42269e-05	3.65479e-06	5.77422e-06	0.3731282	220562	448130	617371	-63168903.707	-62104704.213
run44	1073	3109	349808	9.67401e-04	2.65921e-04	1.53983e-04	5.14207e-05	3.18361e-05	5.70760e-06	0.1761652	41100	498208	536853	-63170876.089	-62104704.213
run45	6333	1298	336834	0.0010544	5.20204e-05	2.60844e-05	1.84539e-04	3.30943e-06	2.99402e-05	0.2616238	160940	277857	542896	-63164218.254	-62104704.213
run46	1167	2229	355851	0.0010401	2.34364e-04	1.31805e-04	9.34358e-05	3.13403e-05	1.29850e-05	0.5615589	58857	178823	480308	-63165005.768	-62104704.213
run47	1613	6953	351221	5.23004e-04	1.66886e-04	1.02378e-04	1.80173e-05	1.78698e-05	2.23849e-06	0.7222684	81539	118136	540724	-63175704.498	-62104704.213
run48	1629	3198	338857	7.13999e-04	1.78685e-04	9.95044e-05	6.67271e-05	1.64598e-05	6.47121e-06	0.2079924	73514	103814	578260	-63167259.842	-62104704.213
run49	2125	5516	343918	4.97384e-04	1.33347e-04	8.39247e-05	2.80440e-05	1.20475e-05	5.04959e-06	0.3085504	86325	468075	556876	-63171052.251	-62104704.213
run50	1419	4740	344303	6.97496e-04	2.00695e-04	1.23048e-04	2.58353e-05	2.19605e-05	4.17715e-06	0.2355400	56529	224548	523977	-63167479.621	-62104704.213
run51	1021	1332	345666	0.0014237	2.42728e-04	1.65318e-04	1.58776e-04	3.23551e-05	2.43579e-05	0.5699803	40699	234842	511623	-63164789.696	-62104704.213
run52	7731	1899	331780	7.83336e-04	4.18357e-05	2.20406e-05	1.45251e-04	2.13217e-06	1.31006e-05	0.3666299	173679	301918	657537	-63168685.791	-62104704.213
run53	2703	1466	349391	0.0010141	9.72943e-05	5.93974e-05	1.52118e-04	1.02723e-05	2.23581e-05	0.5085450	100706	285763	529651	-63161241.399	-62104704.213
run54	2482	1847	339024	9.01780e-04	1.03689e-04	6.66371e-05	1.32343e-04	1.11561e-05	1.64167e-05	0.3768614	92376	155701	591099	-63162452.041	-62104704.213
run55	2410	5880	339232	4.58185e-04	1.16461e-04	7.29459e-05	2.62893e-05	1.14094e-05	3.54225e-06	0.3797715	95530	163937	544769	-63168503.259	-62104704.213
run56	3586	7373	338681	3.63186e-04	7.30990e-05	4.94857e-05	2.93361e-05	7.11211e-06	2.14377e-06	0.6525167	116621	257843	535679	-63168054.620	-62104704.213
run57	1020	8204	339698	2.15353e-08	9.24963e-04	5.71898e-05	4.03926e-05	3.16050e-05	3.67267e-06	0.6496955	101413	190493	550989	-63254857.015	-62104704.213
